 energy   cTheta  phi     prob_b  spheri  pt2rel  multip  bqvjet  ptlrel  nnbjet isb
 46.0975 -0.7658  2.2489  0.0547  0.2932  0.1507  0.3488  0.0237 -0.0003  0.2901 0 
 35.4742  0.7847 -0.7710  0.1037  0.5567  0.0606  0.2808  0.1198 -0.0003  0.7795 0 
 50.5959 -0.1513  0.1804  0.0106  0.2499  0.0788  0.2553  0.0170 -0.0003  0.1631 0 
 41.1627  0.1481 -2.9763  0.0410  0.4447  0.0799  0.3594  0.0280 -0.0003  0.2967 0 
 44.6143  0.0684 -2.0095  0.0073  0.0856  0.0531  0.7035  0.0992 -0.0003  0.1754 0 
 40.8392 -0.0610  1.1126  0.0078  0.1508  0.0349  0.2251  0.0214 -0.0003  0.0593 0 
 55.9670 -0.6779 -1.7299  0.0779  0.0907  0.1287  0.2075  0.0512 -0.0003  0.1632 0 
 45.7038  0.6698  1.3326  0.0348  0.2456  0.0089  0.3058  0.0541 -0.0003  0.0694 0 
 47.3579 -0.7219 -2.9489  0.0395  0.1332  0.0544  0.4329  0.0356 -0.0003  0.1468 0 
 39.9420  0.7141  0.1837  0.0362  0.6700  0.0184  0.3170  0.0899 -0.0003  0.2162 0 
 53.6996  0.0237 -1.2918  0.0654  0.3917  0.0951  0.4612  0.0963  0.3630  0.8095 0 
 39.7925 -0.0232  1.8345  0.0535  0.1304  0.0422  0.3627  0.0306 -0.0003  0.1324 0 
 48.7343 -0.6474  0.8784  0.2954  0.7112  0.0511  0.3008  0.3475 -0.0003  0.9893 1 
 46.7750  0.6400 -2.2503  0.4243  0.7303  0.0448  0.4343  0.6942 -0.0003  0.9982 1 
 45.0233 -0.3191  2.9972  0.0043  0.0822  0.0322  0.0877  0.0091 -0.0003  0.0774 0 
 44.4099  0.3475 -0.1191  0.0864  0.1823  0.3227  0.3082  0.0333 -0.0003  0.3783 0 
 56.7178  0.6706 -1.8754  0.2024  0.2802  0.1774  0.4549  0.0976 -0.0003  0.7409 0 
 33.5882 -0.6826  1.2366  0.0596  0.3431  0.0133  0.1901  0.0513 -0.0003  0.1358 0 
 46.6835  0.4665  2.2863  0.0120  0.4087  0.0195  0.2173  0.0623 -0.0003  0.1012 0 
 41.8402 -0.4540 -0.8515  0.0048  0.5292  0.0152  0.2683  0.0248 -0.0003  0.0938 0 
 59.6658  0.4648  0.5634  0.0053  0.2412  0.0570  0.1225  0.0068 -0.0003  0.1975 0 
 44.9653 -0.4645 -2.5677  0.0374  0.2240  0.0822  0.6143  0.1213 -0.0003  0.3935 0 
 49.2409  0.3616  0.4585  0.0223  0.2593  0.0435  0.1286  0.1735 -0.0003  0.3499 0 
 42.0844 -0.2813 -2.6602  0.0253  0.2662  0.0463  0.4019  0.0572 -0.0003  0.1800 0 
 51.3161 -0.7713 -0.9381  0.0285  0.2841  0.0389  0.3393  0.0019 -0.0003  0.1716 0 
 45.9907  0.7704  2.1901  0.0089  0.4303  0.0601  0.4798  0.0172 -0.0003  0.1792 0 
 45.0477 -0.1660 -0.3250  0.0341  0.2799  0.0674  0.3070  0.0621 -0.0003  0.2492 0 
 43.5035  0.1968  2.8398  0.0215  0.2439  0.0430  0.2213  0.0065 -0.0003  0.1435 0 
 56.8948 -0.1787  1.7212  0.0010  0.4436  0.1329  0.4546  0.0483 -0.0003  0.1993 0 
 45.8473  0.1648 -1.4538  0.0274  0.7858  0.0194  0.2619  0.0341 -0.0003  0.1755 0 
 49.8329 -0.4144  0.9321  0.0610  0.3323  0.0078  0.0855  0.0167 -0.0003  0.1442 0 
